StatID,TeamID,SeasonType,Season,Name,Team,Wins,Losses,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,FantasyPointsFanDuel,FantasyPointsDraftKings,PlusMinus,DoubleDoubles,TripleDoubles
1108749,3,2,2024,Atlanta Hawks,ATL,3,2,5,1044.70,1200,0,196.00,430.00,45.6,134.00,242.00,55.4,62.00,188.00,33.0,85.00,112.00,75.9,51.00,175.00,226.00,129.00,56.00,16.00,103.00,93.00,539.00,1116.70,1141.50,-55.00,2.00,0.00
1115404,3,1,2024,Atlanta Hawks,ATL,29,36,65,14543.10,15688,2,2804.00,6043.00,46.4,1926.00,3603.00,53.5,878.00,2440.00,36.0,1272.00,1579.00,80.6,841.00,2082.00,2923.00,1689.00,485.00,297.00,820.00,1201.00,7758.00,15325.10,15698.75,-610.00,107.00,0.00
1108074,8,2,2024,Brooklyn Nets,BKN,1,2,3,653.80,720,0,117.00,253.00,46.2,70.00,145.00,48.3,47.00,108.00,43.5,71.00,88.00,80.7,26.00,108.00,134.00,76.00,23.00,20.00,59.00,55.00,352.00,696.80,715.00,-40.00,1.00,0.00
1115408,8,1,2024,Brooklyn Nets,BKN,26,40,66,14250.90,15902,34,2720.00,5930.00,45.9,1813.00,3463.00,52.4,907.00,2467.00,36.8,1034.00,1365.00,75.8,752.00,2130.00,2882.00,1747.00,455.00,337.00,793.00,1258.00,7381.00,15042.90,15318.50,-668.00,49.00,0.00
1115409,9,1,2024,Boston Celtics,BOS,51,14,65,15051.90,15724,44,2844.00,5865.00,48.5,1786.00,3118.00,57.3,1058.00,2747.00,38.5,1105.00,1365.00,81.0,696.00,2366.00,3062.00,1721.00,420.00,428.00,751.00,1088.00,7851.00,15899.90,16190.50,3630.00,52.00,1.00
1107551,9,2,2024,Boston Celtics,BOS,4,1,5,1130.40,1200,0,208.00,455.00,45.7,129.00,228.00,56.6,79.00,227.00,34.8,88.00,113.00,77.9,66.00,181.00,247.00,122.00,50.00,23.00,78.00,99.00,583.00,1203.40,1224.25,265.00,2.00,0.00
1115403,2,1,2024,Charlotte Hornets,CHA,17,49,66,13400.60,15889,48,2662.00,5807.00,45.8,1874.00,3595.00,52.1,788.00,2212.00,35.6,957.00,1223.00,78.3,647.00,2056.00,2703.00,1628.00,451.00,305.00,866.00,1225.00,7069.00,14156.60,14452.75,-3260.00,58.00,1.00
1108748,2,2,2024,Charlotte Hornets,CHA,1,3,4,853.00,960,0,154.00,363.00,42.4,122.00,229.00,53.3,32.00,134.00,23.9,77.00,105.00,73.3,48.00,162.00,210.00,90.00,37.00,25.00,75.00,76.00,417.00,915.00,918.50,-180.00,1.00,0.00
1107553,11,2,2024,Chicago Bulls,CHI,1,4,5,1063.60,1250,0,206.00,475.00,43.4,147.00,311.00,47.3,59.00,164.00,36.0,73.00,89.00,82.0,77.00,146.00,223.00,130.00,51.00,18.00,81.00,107.00,544.00,1132.60,1147.75,-105.00,2.00,0.00
1115411,11,1,2024,Chicago Bulls,CHI,32,34,66,14166.20,16114,43,2749.00,5915.00,46.5,1978.00,3754.00,52.7,771.00,2161.00,35.7,1113.00,1402.00,79.4,732.00,2149.00,2881.00,1628.00,503.00,324.00,769.00,1254.00,7382.00,14993.20,15174.75,-610.00,63.00,0.00
1115412,12,1,2024,Cleveland Cavaliers,CLE,42,24,66,14568.60,15964,38,2783.00,5807.00,47.9,1879.00,3340.00,56.3,904.00,2467.00,36.6,1038.00,1361.00,76.3,673.00,2255.00,2928.00,1838.00,490.00,320.00,830.00,1200.00,7508.00,15378.60,15688.50,1422.00,71.00,0.00
1108752,12,2,2024,Cleveland Cavaliers,CLE,0,3,3,623.60,720,0,116.00,262.00,44.3,75.00,135.00,55.6,41.00,127.00,32.3,43.00,58.00,74.1,18.00,105.00,123.00,82.00,30.00,17.00,57.00,68.00,316.00,670.60,678.75,-45.00,0.00,0.00
1106393,25,2,2024,Dallas Mavericks,DAL,1,2,3,634.10,720,0,108.00,277.00,39.0,63.00,145.00,43.4,45.00,132.00,34.1,48.00,70.00,68.6,30.00,113.00,143.00,67.00,27.00,22.00,45.00,53.00,309.00,683.10,687.75,-50.00,1.00,0.00
1115423,25,1,2024,Dallas Mavericks,DAL,38,28,66,14469.70,15839,35,2861.00,5928.00,48.3,1886.00,3299.00,57.2,975.00,2629.00,37.1,1156.00,1521.00,76.0,642.00,2144.00,2786.00,1683.00,449.00,317.00,783.00,1227.00,7853.00,15235.70,15627.50,471.00,59.00,17.00
1108753,20,2,2024,Denver Nuggets,DEN,3,2,5,1097.40,1250,0,204.00,431.00,47.3,135.00,235.00,57.4,69.00,196.00,35.2,84.00,111.00,75.7,46.00,156.00,202.00,142.00,49.00,30.00,77.00,103.00,561.00,1176.40,1183.50,65.00,2.00,0.00
1114158,20,1,2024,Denver Nuggets,DEN,46,20,66,14844.60,15864,41,2906.00,5865.00,49.5,2147.00,3806.00,56.4,759.00,2059.00,36.9,1005.00,1322.00,76.0,712.00,2206.00,2918.00,1926.00,461.00,366.00,776.00,1202.00,7576.00,15671.60,15954.50,1475.00,89.00,21.00
1107555,14,2,2024,Detroit Pistons,DET,2,2,4,923.50,985,0,172.00,364.00,47.3,120.00,221.00,54.3,52.00,143.00,36.4,80.00,111.00,72.1,46.00,159.00,205.00,113.00,27.00,24.00,70.00,104.00,476.00,974.50,997.75,-45.00,2.00,0.00
1115414,14,1,2024,Detroit Pistons,DET,12,53,65,13776.60,15674,34,2719.00,5783.00,47.0,1986.00,3725.00,53.3,733.00,2058.00,35.6,1134.00,1447.00,78.4,717.00,2136.00,2853.00,1712.00,406.00,319.00,970.00,1407.00,7305.00,14501.60,14865.25,-2640.00,63.00,0.00
1106872,26,2,2024,Golden State Warriors,GS,4,1,5,1172.20,1225,15,216.00,455.00,47.5,140.00,257.00,54.5,76.00,198.00,38.4,100.00,133.00,75.2,57.00,199.00,256.00,140.00,46.00,24.00,93.00,109.00,608.00,1242.20,1272.50,115.00,2.00,0.00
1114300,26,1,2024,Golden State Warriors,GS,34,31,65,14700.10,15749,38,2824.00,5991.00,47.1,1861.00,3426.00,54.3,963.00,2565.00,37.5,1075.00,1377.00,78.1,802.00,2236.00,3038.00,1879.00,446.00,281.00,904.00,1298.00,7686.00,15427.10,15839.50,505.00,34.00,1.00
1108754,22,2,2024,Houston Rockets,HOU,4,1,5,1146.10,1189,46,194.00,446.00,43.5,144.00,278.00,51.8,50.00,168.00,29.8,116.00,152.00,76.3,59.00,194.00,253.00,123.00,66.00,24.00,76.00,117.00,554.00,1236.10,1223.25,270.00,1.00,0.00
1115420,22,1,2024,Houston Rockets,HOU,30,35,65,14103.60,15710,42,2682.00,5876.00,45.6,1891.00,3609.00,52.4,791.00,2267.00,34.9,1180.00,1537.00,76.8,739.00,2244.00,2983.00,1606.00,502.00,292.00,808.00,1369.00,7335.00,14897.60,15176.75,115.00,77.00,3.00
1115413,13,1,2024,Indiana Pacers,IND,37,30,67,15618.20,16104,31,3125.00,6181.00,50.6,2233.00,3809.00,58.6,892.00,2372.00,37.6,1109.00,1419.00,78.2,665.00,2096.00,2761.00,2054.00,513.00,396.00,845.00,1437.00,8251.00,16527.20,16741.75,570.00,74.00,2.00
